coinbase	BTC-USD	2026-07-18 10:00:00.000	105123.3576	105144.3576	65.0714	70.2813
kraken	BTC-USD	2026-07-18 10:00:00.000	105186.8244	105207.8244	84.6484	34.822
coinbase	ETH-USD	2026-07-18 10:00:00.000	3199.1605	3199.8005	86.7352	89.3856
kraken	ETH-USD	2026-07-18 10:00:00.000	3200.1777	3200.8177	55.0241	9.2448
coinbase	SOL-USD	2026-07-18 10:00:00.000	139.8251	139.8531	12.7131	33.2055
kraken	SOL-USD	2026-07-18 10:00:00.000	139.7149	139.7429	51.2649	1.059
coinbase	BTC-USD	2026-07-18 10:00:01.000	104930.5728	104951.5728	11.111	25.0735
kraken	BTC-USD	2026-07-18 10:00:01.000	105058.4324	105079.4324	27.184	1.5716
coinbase	ETH-USD	2026-07-18 10:00:01.000	3203.8474	3204.4874	54.3633	88.3766
kraken	ETH-USD	2026-07-18 10:00:01.000	3196.7175	3197.3575	32.6607	4.0535
coinbase	SOL-USD	2026-07-18 10:00:01.000	139.9903	140.0183	89.5817	1.1768
kraken	SOL-USD	2026-07-18 10:00:01.000	140.0294	140.0574	24.793	68.9993
coinbase	BTC-USD	2026-07-18 10:00:02.000	105168.1952	105189.1952	48.9514	87.7995
kraken	BTC-USD	2026-07-18 10:00:02.000	104941.4963	104962.4963	22.5515	42.8463
coinbase	ETH-USD	2026-07-18 10:00:02.000	3201.7101	3202.3501	80.4328	68.0218
kraken	ETH-USD	2026-07-18 10:00:02.000	3194.1996	3194.8396	79.7533	14.1196
coinbase	SOL-USD	2026-07-18 10:00:02.000	139.7704	139.7984	22.0224	18.2469
kraken	SOL-USD	2026-07-18 10:00:02.000	139.8142	139.8422	20.8503	53.9947
coinbase	BTC-USD	2026-07-18 10:00:03.000	105140.8275	105161.8275	53.0156	66.0819
kraken	BTC-USD	2026-07-18 10:00:03.000	105108.0648	105129.0648	99.0206	28.1549
coinbase	ETH-USD	2026-07-18 10:00:03.000	3205.3382	3205.9782	20.3585	20.0868
kraken	ETH-USD	2026-07-18 10:00:03.000	3203.4673	3204.1073	8.8172	90.2217
coinbase	SOL-USD	2026-07-18 10:00:03.000	140.2117	140.2397	70.5108	69.9651
kraken	SOL-USD	2026-07-18 10:00:03.000	139.9746	140.0026	8.0034	35.2362
coinbase	BTC-USD	2026-07-18 10:00:04.000	105099.0055	105120.0055	59.1816	31.2788
kraken	BTC-USD	2026-07-18 10:00:04.000	104851.8233	104872.8233	21.8554	53.8829
coinbase	ETH-USD	2026-07-18 10:00:04.000	3202.2404	3202.8804	94.4848	78.2827
kraken	ETH-USD	2026-07-18 10:00:04.000	3202.3182	3202.9582	63.6489	99.8023
coinbase	SOL-USD	2026-07-18 10:00:04.000	140.0473	140.0753	78.3841	40.8065
kraken	SOL-USD	2026-07-18 10:00:04.000	139.7840	139.8120	37.3507	79.443
coinbase	BTC-USD	2026-07-18 10:00:05.000	104992.9041	105013.9041	50.0604	21.5953
kraken	BTC-USD	2026-07-18 10:00:05.000	104931.7269	104952.7269	75.1897	42.3009
coinbase	ETH-USD	2026-07-18 10:00:05.000	3195.5282	3196.1682	95.9219	93.3748
kraken	ETH-USD	2026-07-18 10:00:05.000	3204.2955	3204.9355	49.4382	98.6854
coinbase	SOL-USD	2026-07-18 10:00:05.000	139.7459	139.7739	65.8379	4.1796
kraken	SOL-USD	2026-07-18 10:00:05.000	139.8989	139.9269	56.4267	48.8142
coinbase	BTC-USD	2026-07-18 10:00:06.000	104962.8007	104983.8007	93.8004	88.4541
kraken	BTC-USD	2026-07-18 10:00:06.000	105153.5606	105174.5606	78.2274	20.9535
coinbase	ETH-USD	2026-07-18 10:00:06.000	3201.7439	3202.3839	37.6262	88.9946
kraken	ETH-USD	2026-07-18 10:00:06.000	3197.6883	3198.3283	60.08	82.8676
coinbase	SOL-USD	2026-07-18 10:00:06.000	139.8902	139.9182	13.0088	36.329
kraken	SOL-USD	2026-07-18 10:00:06.000	139.8574	139.8854	35.7541	97.6973
coinbase	BTC-USD	2026-07-18 10:00:07.000	105140.4886	105161.4886	58.8712	84.1471
